clan,mark_modifier,notes
obsidian,1.10,Very high academic curiosity and drive; philosophical rigour
malachite,1.08,Very high conscientiousness; disciplined spiritual craftspeople
holly,1.07,Scholarly knowledge-keepers; ritual precision and high perfectionism
granite,1.05,Extremely disciplined and perfectionist; structured but less creative
baobab,1.04,Elite and rigorous; very high perfectionism and conscientiousness
bismuth,1.02,Brilliant polymaths but disorganised; high curiosity offset by low conscientiousness
slate,1.02,Precise engineers; very high perfectionism but moderate openness
yew,1.01,Disciplined and politically sharp; solid but not exceptional academically
rowan,1.00,Curious and expressive but moderate conscientiousness; inconsistent
alabaster,0.98,Scholarly but moderate perfectionism; marginalization stress
sandstone,0.97,Adaptable mediators; flexible standards; more practical than academic
ash,0.97,Passionate and curious but inconsistent; better at experiential learning
flint,0.95,Gritty pragmatists; value usefulness over formal achievement
palm,0.93,Joyful but low conscientiousness and perfectionism; displacement background
